LocationID,StateAbbr,CountyName,CountyFIPS,lon,lat,TotalPopulation,chronic_disease_burden_score,preventive_care_gap_score,health_need_score,need_intensity,priority_weighted_population,health_priority_rank
51059481500,VA,Fairfax,51059,-77.3370658,38.9189251,2289,0.2550626349385243,-1.1059182935330054,-0.42542782929724055,0.13505497398423127,309.1408354499054,1116
24031703602,MD,Montgomery,24031,-77.0621522,39.0315386,2928,-0.20537323524268308,-0.6486596725937895,-0.4270164539182363,0.13462514885138782,394.18243583686353,1117
51059491000,VA,Fairfax,51059,-77.5079088,38.8524412,2206,-0.08090681039560811,-0.775042335630742,-0.42797457301317504,0.13436591601449288,296.4112107279713,1118
51059431802,VA,Fairfax,51059,-77.2755187,38.8079685,3259,-0.16325854676335075,-0.6937128285408827,-0.4284856876521167,0.13422762663216942,437.44783519424016,1119
11001004801,DC,District of Columbia,11001,-77.0195344,38.9117413,2820,-0.9550780968769953,0.09710609000224643,-0.4289860034373744,0.13409225903429894,378.14017047672303,1120
51013102002,VA,Arlington,51013,-77.1048667,38.8788638,1243,-1.10770492007032,0.2456144145722946,-0.4310452527490127,0.13353509965427002,165.98412887025762,1121
51059450900,VA,Fairfax,51059,-77.1846865,38.8518932,1704,-0.1093264486252989,-0.7532772583268001,-0.43130185347604955,0.1334656726542546,227.42550620284985,1122
11001001004,DC,District of Columbia,11001,-77.0853886,38.9487665,4480,-0.32673001315600325,-0.5362488093788553,-0.4314894112674293,0.13341492620885134,597.698869415654,1123
51153901235,VA,Prince William,51153,-77.3364202,38.6980298,3262,-0.2342274387425811,-0.6300347082441088,-0.43213107349334495,0.13324131530804462,434.63317053484155,1124
51059492300,VA,Fairfax,51059,-77.242462,38.7363597,3402,-0.45345932588050153,-0.4126219988992742,-0.43304066238988786,0.13299521301104986,452.44971466359164,1125
24031700318,MD,Montgomery,24031,-77.2631573,39.2650337,3290,-0.6726346903740085,-0.19410573263965597,-0.4333702115068322,0.13290604877986711,437.2609004857628,1126
11001011002,DC,District of Columbia,11001,-77.0182455,38.8681789,1859,0.041001311152765,-0.9091923475821893,-0.43409551821471215,0.13270980666706936,246.70753059408193,1127
