LocationID,StateAbbr,CountyName,TotalPopulation,chronic_disease_burden_score,chronic_disease_burden_rank,ARTHRITIS_pct,BPHIGH_pct,CANCER_pct,CASTHMA_pct,CHD_pct,COPD_pct,DEPRESSION_pct,DIABETES_pct,HIGHCHOL_pct,OBESITY_pct,STROKE_pct
51153900601,VA,Prince William,3950,0.005689612564758668,717,19.6,31.5,4.6,9.5,4.8,5.1,19.9,12.7,35.2,37.5,2.8
24031706013,MD,Montgomery,2980,0.005649203845068665,718,23.7,32.5,10.4,8.6,5.4,3.8,16.9,9.4,44.7,21.9,2.6
51059452302,VA,Fairfax,5762,0.004786820101282288,719,17.8,29.1,3.4,9.7,5.3,5.9,20.4,14.3,34.5,33.2,3.0
24033807404,MD,Prince George's,5617,0.004409706123830262,720,20.9,32.1,5.2,10.2,4.9,5.1,15.7,12.6,35.5,37.7,2.9
24031701308,MD,Montgomery,4234,0.004249068373863487,721,22.4,33.1,8.3,8.9,5.4,4.3,16.6,10.6,43.6,23.5,2.8
51153900407,VA,Prince William,6849,0.004222529280269569,722,19.8,32.9,4.3,10.5,4.3,4.7,20.1,12.1,33.9,38.0,2.8
51059460100,VA,Fairfax,4544,0.002230823101017064,723,24.4,31.6,9.2,8.8,5.6,4.1,17.5,11.0,41.8,21.0,2.6
51059490101,VA,Fairfax,5064,0.0022078188504390693,724,22.4,30.3,6.9,9.7,5.0,4.9,19.9,11.2,38.5,24.7,2.7
51059471402,VA,Fairfax,3550,0.0018071289880336057,725,21.1,30.1,5.6,9.6,5.3,5.2,19.4,12.5,37.6,26.5,2.9
51013102301,VA,Arlington,1734,0.001268169099372506,726,23.1,30.4,6.9,9.8,4.6,4.6,21.9,10.0,36.9,28.6,2.5
11001008804,DC,District of Columbia,2417,0.0007707311980344012,727,18.7,33.3,4.6,11.4,4.2,4.9,21.4,10.0,32.9,29.8,3.5
24031700713,MD,Montgomery,6081,-0.0008324099978852882,728,17.2,31.1,3.6,10.1,4.9,5.6,19.2,12.8,36.6,34.3,3.1
51510200105,VA,Alexandria,4065,-0.0011083870559752693,729,19.5,32.9,4.0,11.3,4.1,4.8,20.8,11.4,32.3,37.2,2.8
24033806710,MD,Prince George's,5256,-0.0012158724777954716,730,22.5,35.9,5.4,11.3,4.1,4.0,14.2,12.3,35.2,37.7,2.9
24031701006,MD,Montgomery,5550,-0.0013114344651778671,731,23.9,33.3,10.6,8.1,5.7,3.9,15.2,9.9,45.8,20.1,2.8
51153901223,VA,Prince William,6777,-0.004480430441974947,732,21.8,31.4,6.6,10.0,4.5,4.5,20.7,10.3,36.1,33.3,2.5
24031700718,MD,Montgomery,5487,-0.0046945331530550555,733,22.5,32.5,9.1,9.0,5.6,4.1,17.1,9.9,41.7,23.6,2.8
51600300300,VA,Fairfax,5889,-0.006319571489480139,734,22.5,31.1,7.1,9.2,5.1,4.6,19.6,11.1,37.0,30.6,2.6
24031700715,MD,Montgomery,6117,-0.007707600017713188,735,19.8,31.6,5.4,9.7,5.0,5.0,17.7,12.0,40.0,29.3,3.0
51059421102,VA,Fairfax,3514,-0.00825062292961581,736,23.4,31.5,7.6,9.9,4.9,4.2,18.8,10.9,38.1,25.6,2.7
24031700813,MD,Montgomery,6353,-0.008561085922672702,737,20.5,32.4,6.2,9.4,5.2,4.7,17.2,11.6,40.0,29.2,3.0
11001001500,DC,District of Columbia,6156,-0.009104166599046276,738,23.6,30.7,11.7,9.0,4.9,4.1,19.7,7.2,41.4,18.8,2.9
