LocationID,ACCESS2,ARTHRITIS,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,DENTAL,DEPRESSION,DIABETES,HIGHCHOL,LACKTRPT,MAMMOUSE,OBESITY,STROKE,TEETHLOST
24017850906,8.9,24.5,41.2,75.6,5.5,11.5,4.7,80.6,89.0,67.5,5.6,56.2,17.9,13.6,34.6,10.5,83.2,44.2,3.4,10.5
24017851001,6.3,28.8,40.8,79.4,9.6,9.8,6.2,81.1,91.1,72.7,6.0,68.8,18.2,12.4,39.9,5.9,80.1,36.7,3.5,7.8
24017851003,5.2,26.0,36.4,76.9,8.8,9.9,5.1,79.8,91.0,71.4,5.1,70.6,19.6,10.5,38.1,5.3,81.1,35.8,2.8,5.9
24017851004,8.1,27.2,40.1,77.0,7.8,10.9,5.7,80.0,89.2,67.9,6.5,62.1,19.5,12.8,37.2,8.4,79.7,39.9,3.6,9.9
24017851100,6.0,28.6,40.0,78.4,9.3,10.0,6.2,79.9,90.6,73.0,6.4,68.7,20.0,12.4,40.0,5.9,80.9,38.3,3.3,7.8
24017851200,7.4,30.1,41.7,78.6,9.4,10.3,6.9,79.5,89.5,68.8,7.7,64.1,20.6,13.4,40.6,7.0,78.4,39.3,3.8,11.7
24017851301,7.4,29.5,40.1,77.2,8.8,10.8,6.6,78.7,88.4,67.4,8.1,62.4,22.1,12.9,40.0,7.6,76.4,39.7,3.6,11.4
24017851302,6.0,27.0,38.7,77.3,8.7,10.1,5.5,79.8,90.5,70.8,5.8,68.3,19.2,11.6,38.7,6.1,78.9,37.4,3.1,8.3
24017851401,6.9,29.4,44.2,79.3,7.9,11.0,6.4,81.3,90.4,68.6,7.1,63.2,19.3,15.1,39.7,8.5,79.9,43.0,3.9,9.0
24017851402,5.9,27.3,38.7,77.7,8.7,10.2,5.4,80.1,90.8,71.5,5.8,68.2,19.6,11.6,38.9,6.0,78.5,37.6,3.1,7.7
24017851403,6.0,28.7,42.1,79.9,8.7,10.3,6.0,81.7,91.7,72.1,5.9,68.3,18.2,13.3,39.9,6.3,82.1,38.9,3.5,6.8
