LocationID,lisa_q,lisa_p,lisa_I
11001009505,0,0.485,0.008333064368163985
11001006500,3,0.001,1.1772806361162849
11001000802,3,0.006,0.8249820706817177
11001005802,3,0.005,0.9438785306544385
11001009509,2,0.007,-0.6553507295338689
11001007601,1,0.03,1.2033340691342174
11001003902,3,0.001,1.676170695877891
11001007503,1,0.001,2.103476928218312
11001004902,3,0.008,0.9245941457104258
11001009204,4,0.022,-1.1012248803535576
11001003000,0,0.152,-0.022418404127124366
11001007304,1,0.001,4.653459290705064
11001003500,3,0.005,0.7329921937601422
11001003301,0,0.052,0.7381827781654134
11001004901,3,0.001,0.5482643732186178
11001009803,1,0.001,4.15795723551285
11001010400,1,0.001,2.8134862187265854
11001010800,4,0.001,-0.8930303811323093
11001009804,1,0.001,3.7455130051354026
11001011100,1,0.003,1.1763513664379044
11001010603,0,0.22,0.4680290061162969
11001010300,0,0.393,-0.04282328447469863
11001011002,0,0.404,0.11080107702394328
11001009905,1,0.001,1.579188740451748
11001009810,1,0.001,4.366504550411391
11001010602,0,0.149,0.3810642262409248
11001009807,1,0.001,2.066684990642415
11001010100,3,0.001,1.6122812539089317
11001980000,3,0.009,0.8784466634742346
11001009904,1,0.001,2.742867909222978
11001010700,3,0.001,1.3821831457130187
11001009902,1,0.002,0.6760379356971516
11001010201,3,0.023,0.8366907780293957
11001011001,3,0.006,0.44151589230723903
11001009907,1,0.001,3.229127158763477
11001009901,2,0.001,-0.5579388221817589
11001010900,0,0.318,0.35214539367710135
11001010202,3,0.001,0.6656533152604943
11001009906,1,0.001,1.3634512272618666
11001009811,1,0.001,4.8496482939566175
11001010500,3,0.003,0.23831698348761948
11001010601,0,0.143,0.43651346888085796
11001009903,1,0.001,0.20753675967682772
24031700318,0,0.09,0.3600581958429908
24031700613,0,0.09,0.333809343925996
24031700838,3,0.001,0.7572826936540324
24031701219,0,0.368,-0.04910556884397914
24031701303,0,0.06,-0.5223731812687235
24031701307,0,0.078,0.4263759897130804
24031701424,0,0.107,0.139967564666422
24031701508,1,0.046,0.6229667386995085
24033800105,0,0.057,0.1297605584315438
24033800403,0,0.46,0.010372906489321087
24033800409,0,0.484,0.004224170590838247
24033800504,0,0.358,0.017320796001759696
24033800515,0,0.498,-0.01452899354821321
24033800521,0,0.187,0.13065112156715028
24033800705,1,0.043,0.18361088263187228
24033800900,0,0.16,0.3027403785424213
24033801106,2,0.006,-0.230106242905242
24033801307,0,0.4,0.009186743365919545
24033801600,1,0.001,4.461625351662941
24033801904,1,0.01,0.7271866278546233
24033802301,1,0.001,2.5030713571282663
24033803521,2,0.003,-0.22905633555603347
24033803524,1,0.001,1.0490577564839139
24033803605,1,0.003,1.5055581745600255
24033804101,1,0.001,1.4327992184986675
24033807410,1,0.048,0.8332105885180519
24017850905,0,0.066,0.03915211118637169
24017850712,0,0.162,0.258336729203679
24021751905,0,0.385,-0.04612866192958147
24021751903,0,0.231,0.056300080107273526
24021751702,0,0.382,0.01882156688557612
24021751003,0,0.057,0.4905873274121734
24017850400,0,0.143,0.43779148714055405
24021750805,0,0.123,-0.17285038410926346
24021752206,0,0.427,0.05840954935854089
24021751001,0,0.098,0.06597718533568246
24021750801,0,0.261,0.08354462888465668
24021751203,0,0.18,0.05584044079523625
24021740200,0,0.256,-0.0217701311941255
24021751801,0,0.23,0.09194922676207107
24021751902,0,0.415,-0.018242510967188052
24021750508,0,0.061,0.38770640318491356
24009860902,0,0.116,0.22077626356613803
24017850801,0,0.056,0.6747223846449786
24021752201,0,0.118,-0.06259780903360128
24009861003,0,0.105,0.1769763590093436
24009860701,0,0.085,0.27290816649482347
24021751600,0,0.194,0.1804249273839694
24021752101,0,0.139,0.1471642282784496
24017851003,0,0.109,-0.0862525076564479
24021752601,0,0.159,-0.10476471259423638
24009860402,0,0.283,0.020803380101643135
24017850710,0,0.064,0.031039807663182272
24009860501,0,0.217,-0.023692214166035626
24009860600,0,0.186,0.07608401450496546
24021752303,0,0.296,-0.019702878799875118
24017850706,0,0.102,0.07719935230891664
24021750300,0,0.158,0.19333857673459348
24021751202,2,0.036,-0.09252615589457883
24021750701,0,0.385,0.03658709822732402
24021752602,0,0.171,-0.011849136788771265
24017850500,0,0.126,0.22004497634675002
24021750804,0,0.079,-0.25156040345521885
24009860403,0,0.432,0.0010975658059509906
24021750507,0,0.212,0.4105751948141265
24017850709,0,0.055,0.08538946373197205
24017851401,0,0.086,0.41002570887988127
24021752501,0,0.453,-0.003923732556220718
24009860702,0,0.164,0.3314828430717874
24021751906,0,0.147,0.022644592750246405
24021750702,0,0.333,0.1215914153409529
24017851302,0,0.121,0.07453643685781004
24021751904,0,0.481,0.012801849793026716
24021750504,1,0.027,0.5331983835412843
24009860801,0,0.096,0.1399438814143757
24017851004,0,0.121,0.2688849396345483
24017850708,0,0.104,0.10490396949702296
24017851200,0,0.167,0.2809055490802261
24009861100,0,0.098,0.11628316076614066
24017850902,0,0.082,0.2687755791610548
24009860703,0,0.168,0.21659901255365258
24009860300,0,0.285,0.023607109463364508
24017850802,1,0.049,0.2555888222965199
24021750200,2,0.049,-0.07363334889485443
24021751301,0,0.37,0.027593378940400617
24017850711,0,0.117,0.44749863586320593
24017851001,0,0.168,0.06072313981102696
24009860200,0,0.199,-0.09299944138644005
24021751002,0,0.171,0.2300048149402156
24009860502,0,0.142,0.0203318015045203
24017851501,0,0.05,0.04350574669131065
24021751302,0,0.302,0.08038243610121105
24021750506,0,0.071,0.19142345951628553
24021752001,0,0.398,0.013896728796821483
24021752301,0,0.101,-0.14443577267055752
24021750802,0,0.188,-0.09234058292397204
24017851403,1,0.029,0.13311199609973826
24017850904,0,0.105,-0.050272689260307445
24021750600,2,0.039,-0.32648317679166083
24017851100,0,0.176,0.07352186065892106
24009861004,0,0.11,0.1898538509714554
24021750505,0,0.076,0.44862751109852783
24021752302,0,0.444,-0.0004884152498702098
24021752202,0,0.24,0.14906588630133472
24021750100,0,0.072,0.2875539020722047
24009860404,0,0.368,0.010444675554371298
24017850201,0,0.264,0.02250052067222858
24017850600,1,0.046,0.05490360881688622
24017850102,0,0.132,0.21190978058822665
24017851402,0,0.053,0.09367537668692487
24017851502,0,0.062,0.2771121244208775
24017850901,0,0.136,0.520829313286048
24021751701,0,0.236,-0.16133996770735
24009860901,0,0.117,0.02501481416678388
24021752205,0,0.242,0.20345647247820314
24021752102,0,0.145,0.12994177494290765
24017850713,0,0.127,0.09033459129188393
24021752502,0,0.377,-0.0008597368144748592
24021751802,0,0.364,0.01764150562773913
24017850202,0,0.24,0.22614023465374938
24017850101,0,0.31,-0.002519522014035586
24021752603,0,0.159,-0.08579423830240429
24009860103,0,0.262,-0.0331548402705348
