Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,VA,Virginia,Fairfax,51059,51059482302,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,10.8,,,9.1,12.9,"4,625","3,496",POINT (-77.3547124 38.9367321),51059482302,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2023,VA,Virginia,Fairfax,51059,51059460300,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,9.6,,,8.2,11.1,"2,896","2,110",POINT (-77.2756809 38.9228761),51059460300,HLTHSTAT,GHLTH,CrdPrv,General Health
2023,VA,Virginia,Fauquier,51061,51061930705,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,35.3,,,28.4,43.3,"3,988","2,979",POINT (-77.7208395 38.5710913),51061930705,HLTHOUT,OBESITY,CrdPrv,Obesity
2023,VA,Virginia,Fairfax,51059,51059482201,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,22.8,,,19.5,26.3,"2,481","1,842",POINT (-77.34107 38.9591868),51059482201,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2023,VA,Virginia,Fairfax,51059,51059440201,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.4,,,5.9,9.1,"4,133","3,516",POINT (-77.2221663 38.8732853),51059440201,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2023,VA,Virginia,Fairfax,51059,51059422402,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,2.0,,,1.8,2.3,"5,236","3,969",POINT (-77.1329366 38.7648774),51059422402,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2023,VA,Virginia,Fairfax,51059,51059470300,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,10.3,,,8.9,11.8,"3,418","2,498",POINT (-77.1381524 38.929091),51059470300,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2022,VA,Virginia,Fairfax,51059,51059451900,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,36.7,,,33.1,40.4,"6,015","4,724",POINT (-77.1543577 38.8234282),51059451900,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2023,VA,Virginia,Fairfax,51059,51059480205,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,6.4,,,5.2,7.8,"3,268","2,871",POINT (-77.2240394 38.9209595),51059480205,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2023,VA,Virginia,Fairfax,51059,51059470300,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.7,,,8.4,11.2,"3,418","2,498",POINT (-77.1381524 38.929091),51059470300,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,VA,Virginia,Fairfax,51059,51059492203,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,6.6,,,5.3,8.2,"4,014","3,066",POINT (-77.2643325 38.7212462),51059492203,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2023,VA,Virginia,Fairfax,51059,51059461802,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,4.5,,,3.5,5.5,"5,448","4,338",POINT (-77.3040196 38.8720349),51059461802,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2023,VA,Virginia,Fairfax,51059,51059460701,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,14.7,,,12.1,17.5,"3,501","2,537",POINT (-77.2537963 38.8827853),51059460701,HLTHSTAT,GHLTH,CrdPrv,General Health
2023,VA,Virginia,Fairfax,51059,51059482205,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,27.2,,,24.4,30.3,"2,622","2,300",POINT (-77.3446112 38.9538267),51059482205,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2023,VA,Virginia,Fairfax,51059,51059431601,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,17.4,,,13.8,21.9,"1,908","1,894",POINT (-77.2054172 38.7665692),51059431601,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,VA,Virginia,Fairfax,51059,51059451000,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,3.7,,,3.2,4.3,"2,707","2,193",POINT (-77.1826546 38.8416805),51059451000,DISABLT,VISION,CrdPrv,Vision Disability
2023,VA,Virginia,Fairfax,51059,51059422301,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.6,,,8.5,10.8,"3,133","2,443",POINT (-77.1283467 38.7801378),51059422301,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2023,VA,Virginia,Fairfax,51059,51059482204,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,78.0,,,75.0,80.9,"1,975","1,838",POINT (-77.3540586 38.9577858),51059482204,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2023,VA,Virginia,Fairfax,51059,51059491303,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,15.5,,,12.4,18.8,"4,269","3,320",POINT (-77.438283 38.8343899),51059491303,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2023,VA,Virginia,Fairfax,51059,51059452502,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,4.5,,,4.0,5.0,"5,011","3,580",POINT (-77.1493966 38.815341599999996),51059452502,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2022,VA,Virginia,Fairfax,51059,51059491802,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,67.1,,,63.5,70.6,"2,915","2,290",POINT (-77.3962895 38.8672075),51059491802,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2023,VA,Virginia,Fairfax,51059,51059432600,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,1.8,,,1.6,2.1,"4,967","3,664",POINT (-77.2326566 38.7487953),51059432600,DISABLT,SELFCARE,CrdPrv,Self-care Disability
